rxn05535:	['']
rxn05538:	['']
rxn05536:	['']
rxn00470:	['"KEGG:R00670"']
rxn00711:	['"KEGG:R00966"']
rxn08043:	['"KEGG:R08648"']
rxn00003:	['"KEGG:R00006"']
rxn00527:	['"KEGG:R00734"']
rxn00776:	['"KEGG:R01055"']
rxn00414:	['"KEGG:R00575"']
rxn08792:	['']
rxn00405:	['"KEGG:R00566"']
rxn02213:	['"KEGG:R03084"']
rxn00101:	['"KEGG:R00131"']
rxn06439:	['"KEGG:R03655"']
rxn00867:	['"KEGG:R01168"']
rxn05347:	['"KEGG:R04355"']
rxn05195:	['']
rxn13107:	['']
rxn09044:	['']
rxn05466:	['']
rxn09692:	['']
rxn00283:	['"KEGG:R00401"']
rxn05145:	['']
rxn00737:	['"KEGG:R00996"']
rxn08103:	['']
rxn00692:	['"KEGG:R00945"']
rxn00433:	['"KEGG:R00610"']
rxn02938:	['"KEGG:R04209"']
rxn00162:	['"KEGG:R00217"']
rxn00640:	['"KEGG:R00883"']
rxn00559:	['"KEGG:R00772"']
rxn05605:	['']
rxn05654:	['']
rxn01300:	['"KEGG:R01771"']
rxn05150:	['']
rxn05183:	['']
rxn05219:	['']
rxn10042:	['']
rxn03919:	['"KEGG:R05647"']
rxn02303:	['"KEGG:R03220"']
rxn00656:	['"KEGG:R00907"']
rxn00927:	['"KEGG:R01245"']
rxn01299:	['"KEGG:R01770"']
rxn00926:	['"KEGG:R01244"']
rxn01137:	['"KEGG:R01560"']
rxn01858:	['"KEGG:R02556"']
rxn00598:	['"KEGG:R00829"']
rxn02369:	['"KEGG:R03307"']
rxn02144:	['"KEGG:R02991"']
rxn05673:	['']
rxn05574:	['']
rxn01204:	['"KEGG:R01648"']
rxn10132:	['']
rxn01029:	['"KEGG:R01416"']
rxn00853:	['"KEGG:R01152"']
rxn00856:	['"KEGG:R01155"']
rxn05508:	['']
rxn00777:	['"KEGG:R01056"']
rxn01520:	['"KEGG:R02101"']
rxn01073:	['"KEGG:R01470"']
rxn00758:	['"KEGG:R01030"']
rxn00898:	['"KEGG:R01209"']
rxn02175:	['"KEGG:R03035"']
rxn01303:	['"KEGG:R01776"']
rxn01304:	['"KEGG:R01777"']
rxn00953:	['"KEGG:R01289"']
rxn00950:	['"KEGG:R01285"']
rxn00742:	['"KEGG:R01001"']
rxn02302:	['"KEGG:R03217"']
rxn01816:	['"KEGG:R02508"']
rxn01018:	['"KEGG:R01397"']
rxn00351:	['"KEGG:R00497"']
rxn02312:	['"KEGG:R03231"']
rxn00141:	['"KEGG:R00192"']
rxn00717:	['"KEGG:R00974"']
rxn01626:	['"KEGG:R02269"']
rxn00330:	['"KEGG:R00472"']
rxn00796:	['']
rxn02297:	['"KEGG:R03210"']
rxn02277:	['"KEGG:R03182"']
rxn00126:	['"KEGG:R00177"']
rxn01200:	['"KEGG:R01641"']
rxn00785:	['"KEGG:R01067"']
rxn01100:	['"KEGG:R01512"']
rxn00786:	['"KEGG:R01068"']
rxn02504:	['"KEGG:R03504"']
rxn00095:	['"KEGG:R00125"']
rxn01116:	['"KEGG:R01529"']
rxn00791:	['"KEGG:R01073"']
rxn02507:	['"KEGG:R03508"']
rxn00127:	['"KEGG:R00178"']
rxn12880:	['']
rxn12510:	['"KEGG:R03018"']
rxn02934:	['"KEGG:R04204"']
rxn05221:	['']
rxn00670:	['"KEGG:R00921"']
rxn00985:	['"KEGG:R01353"']
rxn03236:	['"KEGG:R04734"']
rxn04989:	['"KEGG:R07211"']
rxn01734:	['"KEGG:R02407"']
rxn00177:	['"KEGG:R00237"']
rxn01637:	['"KEGG:R02283"']
rxn00467:	['"KEGG:R00667"']
rxn00291:	['"KEGG:R00411"']
rxn00541:	['"KEGG:R00751"']
rxn00337:	['"KEGG:R00480"']
rxn10474:	['']
rxn00303:	['"KEGG:R00429"']
rxn02937:	['"KEGG:R04208"']
rxn02988:	['"KEGG:R04292"']
rxn03147:	['"KEGG:R04591"']
rxn09566:	['']
rxn00208:	['"KEGG:R00277"']
rxn01252:	['"KEGG:R01711"']
rxn00209:	['"KEGG:R00278"']
rxn01102:	['"KEGG:R01514"']
rxn00455:	['"KEGG:R00653"']
rxn01973:	['"KEGG:R02734"']
rxn06023:	['"KEGG:R01625"']
rxn03540:	['"KEGG:R05225"']
rxn02900:	['"KEGG:R04152"']
rxn00537:	['"KEGG:R00747"']
rxn08707:	['']
rxn05039:	['"KEGG:R07280"']
rxn00361:	['"KEGG:R00509"']
rxn00250:	['"KEGG:R00344"']
rxn01462:	['"KEGG:R01990"']
rxn13855:	['']
rxn05305:	['']
rxn09653:	['']
rxn00010:	['"KEGG:R00013"']
rxn00327:	['"KEGG:R00469"']
rxn01746:	['"KEGG:R02422"']
rxn00139:	['"KEGG:R00190"']
rxn05241:	['']
rxn05240:	['']
rxn05242:	['']
rxn05346:	['"KEGG:R04952"']
rxn05348:	['"KEGG:R04963"']
rxn05345:	['"KEGG:R04726"']
rxn05350:	['"KEGG:R04957"']
rxn05343:	['"KEGG:R04960"']
rxn05344:	['"KEGG:R04968"']
rxn00189:	['"KEGG:R00256"']
rxn02569:	['"KEGG:R03595"']
rxn01255:	['"KEGG:R01714"']
rxn05104:	['"KEGG:R07392"']
rxn01620:	['"KEGG:R02262"']
rxn05092:	['"KEGG:R07364"']
rxn05091:	['"KEGG:R07363"']
rxn05107:	['"KEGG:R07395"']
rxn01406:	['"KEGG:R01920"']
rxn00222:	['"KEGG:R00306", "KEGG:R06104"']
rxn00676:	['"KEGG:R00927"']
